Building Address,Building Class,City,Rentable Building Area,State,Year Built,Zip,Submarket,Market
2178 N Fox Hollow Dr,C,Nixa,1768,MO,1999,657149708,West Christian County,Springfield  - MO
2178 N Fox Hollow Dr,C,Nixa,12846,MO,,65714,West Christian County,Springfield  - MO
218 Chouteau Ave,C,Saint Louis,1175,MO,1959,631021609,St Louis City South,Saint Louis - MO
218 E 11th Ave,C,North Kansas City,25000,MO,1960,641164137,City of North KC,Kansas City - MO
218 Lake Ave,B,Maryland Heights,1200,MO,1940,630432622,Westport,Saint Louis - MO
218-224 E Marceau St,C,Saint Louis,5200,MO,2000,63111,St Louis City South,Saint Louis - MO
218-230 Russell Blvd,C,Saint Louis,100000,MO,1901,631044608,St Louis City South,Saint Louis - MO
2180 N Bristol Ln,C,Nixa,26450,MO,1999,65714,West Christian County,Springfield  - MO
2180 N Fox Hollow Dr,C,Nixa,26450,MO,,65714,West Christian County,Springfield  - MO
21800 W 167th St,A,Olathe,450000,MO,2007,660629646,Olathe,Kansas City - MO
219 Chouteau Ave,C,Saint Louis,2045,MO,1913,631021608,St Louis City South,Saint Louis - MO
219 E Hwy 40,C,Troy,2720,MO,,622942202,Illinois,Saint Louis - MO
2190 N Westgate Ave,,Springfield,,MO,,65802,Northwest,Springfield  - MO
21973-21987 W 83rd St,B,Shawnee,27200,MO,2008,66227,Lenexa,Kansas City - MO
2199 E 9th St,C,Kansas City,47348,MO,,641242365,East Bottoms KC,Kansas City - MO
22 Highway 47,B,Winfield,5200,MO,2000,633899509,Lincoln County,Saint Louis - MO
22 Schiber Ct,C,Maryville,4840,MO,,62062,Illinois,Saint Louis - MO
22-100-08-00-004-03-01,,Columbia,,MO,,65201,,Jefferson City - MO
220 Kindleberger Rd,B,Kansas City,74000,MO,2015,66115,Central KC KS/Fairfax,Kansas City - MO
220 Millwell Dr,B,Maryland Heights,38431,MO,1970,63043,Westport,Saint Louis - MO
220 N Leffingwell Ave,C,Saint Louis,7500,MO,1940,63103,St Louis City North,Saint Louis - MO
220 N State Z Hwy,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
220 NW Commerce Ct,B,Lees Summit,7560,MO,2007,640865894,"Lee's Summit",Kansas City - MO
220 Old US 40 Hwy,C,Grain Valley,3075,MO,,64029,Blue Springs,Kansas City - MO
220 S 10th St,C,Kansas City,2400,MO,1955,661025518,Central KC KS/Fairfax,Kansas City - MO
220 W 18th St,C,Kansas City,17000,MO,1931,641081205,Downtown KC,Kansas City - MO
2200 Campbell St,F,Kansas City,9996,MO,1957,641082726,Downtown KC,Kansas City - MO
2200 E Pitman Ave,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
2200 Forte Ct,C,Maryland Heights,52000,MO,1980,630434204,Westport,Saint Louis - MO
2200 Gravois Ave,C,Saint Louis,20000,MO,1921,631042812,St Louis City South,Saint Louis - MO
2200 McNair Ave,C,Saint Louis,2668,MO,1912,63104,St Louis City South,Saint Louis - MO
2200 Merriam Ln,F,Kansas City,4560,MO,1975,661064718,Turner,Kansas City - MO
2200 N 9th St,C,Saint Louis,18432,MO,,63102,St Louis City North,Saint Louis - MO
2200 N Courtney Rd,C,Sugar Creek,71254,MO,,640506201,Independence,Kansas City - MO
2200 Walon On Dr,,Ozark,,MO,,65721,East Christian County,Springfield  - MO
2200-2202 Prospect Ave,C,Kansas City,8122,MO,1912,64127,East Bottoms KC,Kansas City - MO
2200-2202 S Hanley Rd,B,Richmond Heights,35000,MO,1957,63144,Hanley,Saint Louis - MO
2201 Adams St,C,Granite City,10380,MO,,620403317,Illinois,Saint Louis - MO
2201 E Broadway,C,Alton,6000,MO,1980,620026667,Illinois,Saint Louis - MO
2201 Gratiot St,C,Saint Louis,47000,MO,1913,631033020,St Louis City South,Saint Louis - MO
2201 Indiana Ave,C,Kansas City,6167,MO,1940,641274303,East Bottoms KC,Kansas City - MO
2201 Indiana Ave,C,Saint Louis,10000,MO,1904,63104,St Louis City South,Saint Louis - MO
2201 January Ave,C,Saint Louis,20000,MO,1960,631102937,St Louis City South,Saint Louis - MO
2201 Manchester Tfwy,C,Kansas City,250000,MO,1962,64126,East Bottoms KC,Kansas City - MO
2201 Packer Rd,,Springfield,,MO,,65803,Northeast,Springfield  - MO
22013 W 83rd St,C,Lenexa,10174,MO,2002,66220,Lenexa,Kansas City - MO
22019 W 83rd St,C,Lenexa,18310,MO,2002,66220,Lenexa,Kansas City - MO
2202 Formosa Rd,C,Troy,4270,MO,,622943170,Illinois,Saint Louis - MO
2204 W Broadway St,,Bolivar,,MO,,65613,Polk County,Springfield  - MO
2205 S 88th St,C,Kansas City,11882,MO,2001,66111,Bonner Springs,Kansas City - MO
2205-2211 S 1st St,C,Saint Louis,10000,MO,1950,63102,St Louis City South,Saint Louis - MO
2207 N 145th Ter,B,Basehor,5920,MO,1998,660075197,Leavenworth County,Kansas City - MO
2207 S 12th St,C,Saint Louis,8875,MO,1970,63104,St Louis City South,Saint Louis - MO
2208 Mason Ln,C,Manchester,3984,MO,1957,630217801,West County,Saint Louis - MO
2209 Delmar Blvd,C,Saint Louis,15000,MO,1927,631031501,St Louis City North,Saint Louis - MO
2209 E 36th St,,Joplin,,MO,,64804,,Joplin - MO
221 W 4th St,F,Kansas City,53000,MO,1970,641051210,Downtown KC,Kansas City - MO
221 W 74th Ter,C,Kansas City,12500,MO,1955,64114,Midtown South,Kansas City - MO
221 White Ln,,Highlandville,,MO,,65669,West Christian County,Springfield  - MO
221-249 Old Meramec Station Rd,C,Manchester,13440,MO,1973,630215310,West County,Saint Louis - MO
2210 Franklin St,B,Carlyle,13695,MO,,62231,Clinton County,Saint Louis - MO
2210 Parrallel Ln,B,Basehor,5760,MO,,66007,Leavenworth County,Kansas City - MO
2210 S 3rd St,C,Saint Louis,53913,MO,1946,631044226,St Louis City South,Saint Louis - MO
2211 E 19th St,F,Kansas City,7500,MO,1988,641273013,East Bottoms KC,Kansas City - MO
2211 Forte Ct,B,Maryland Heights,12110,MO,1985,630434204,Westport,Saint Louis - MO
2211 Lucas Ave,C,Saint Louis,17396,MO,1901,63103,St Louis City North,Saint Louis - MO
2211-2213 N 145th Ter,C,Basehor,5640,MO,1998,66007,Leavenworth County,Kansas City - MO
2212-2222 S Jefferson Ave,C,Saint Louis,15594,MO,1906,63104,St Louis City South,Saint Louis - MO
2214 Front St,C,Kansas City,16000,MO,1956,661011875,Central KC KS/Fairfax,Kansas City - MO
2214 S 7th St,C,Saint Louis,65000,MO,1945,63104,St Louis City South,Saint Louis - MO
2215 Harrison St,F,Kansas City,44000,MO,1955,641082813,Downtown KC,Kansas City - MO
2215 Scott Ave,C,Saint Louis,75000,MO,1913,631033031,St Louis City South,Saint Louis - MO
22161 W 167th St,A,Olathe,601829,MO,2008,660629629,Olathe,Kansas City - MO
2219-2233 Delmar Blvd,C,Saint Louis,16500,MO,1966,63103,St Louis City North,Saint Louis - MO
2220 Liebler Rd,C,Troy,14000,MO,1979,622942322,Illinois,Saint Louis - MO
2220 State Line Rd,C,Kansas City,10872,MO,1970,66103,Armourdale,Kansas City - MO
2221 Campbell St,F,Kansas City,100000,MO,1920,641082725,Downtown KC,Kansas City - MO
2221 N 145th Ter,C,Basehor,6000,MO,2000,660075197,Leavenworth County,Kansas City - MO
2221 N 147th St,C,Basehor,7250,MO,1998,66007,Leavenworth County,Kansas City - MO
2221 N 147th St,C,Basehor,3350,MO,1998,66007,Leavenworth County,Kansas City - MO
2222 N 2nd St,C,Saint Louis,167000,MO,1930,63102,St Louis City North,Saint Louis - MO
2222 W Clay St,C,Saint Charles,18000,MO,1950,63301,St Charles County,Saint Louis - MO
2223 Guinotte Ave,C,Kansas City,10000,MO,1940,641201539,East Bottoms KC,Kansas City - MO
2224 N 10th St,B,Saint Louis,35509,MO,1942,631021421,St Louis City North,Saint Louis - MO
2225 Gravois Rd,C,High Ridge,18500,MO,1999,630492504,Jefferson County,Saint Louis - MO
2225 N 20th St,,Ozark,,MO,,65721,West Christian County,Springfield  - MO
2225 N 20th St,,Ozark,,MO,,65721,West Christian County,Springfield  - MO
2225 N 20th St,,Ozark,,MO,,65721,West Christian County,Springfield  - MO
2225 N 20th St,,Ozark,,MO,,65721,West Christian County,Springfield  - MO
2227 Clark Ave,C,Saint Louis,45000,MO,1950,631032539,St Louis City North,Saint Louis - MO
2227 Gravois Rd,C,High Ridge,7438,MO,1991,63049,Jefferson County,Saint Louis - MO
2228-2240 Ball Dr,A,Saint Louis,38480,MO,2001,631468602,Westport,Saint Louis - MO
"223 O'Fallon Plz",C,"O'Fallon",3850,MO,2000,63366,St Charles County,Saint Louis - MO
223 Saint Andrews Ave,B,Edwardsville,30000,MO,,620251887,Illinois,Saint Louis - MO
223-225 S 2nd St,C,Odessa,11500,MO,1894,64076,Lafayette County,Kansas City - MO
2233 Cassens Dr,C,Fenton,42192,MO,1980,630262501,Fenton,Saint Louis - MO
2235 E Kansas City Rd,B,Olathe,6000,MO,1998,660613083,Olathe,Kansas City - MO
2237 Taney St,C,Kansas City,2035,MO,,64116,City of North KC,Kansas City - MO
224 Benton St,C,Valley Park,18500,MO,1955,630881704,West County,Saint Louis - MO
224 Catalan St,C,Saint Louis,200000,MO,1920,631113701,St Louis City South,Saint Louis - MO
224 Choctaw St,C,Leavenworth,4195,MO,,66048,Leavenworth County,Kansas City - MO
2240 Cassens Dr,B,Fenton,23400,MO,1993,630262521,Fenton,Saint Louis - MO
2240 Edwards St,C,Saint Louis,2433,MO,1903,631103128,St Louis City South,Saint Louis - MO
2240 S Main St,,Carthage,,MO,,64836,,Joplin - MO
2241 Gravois Ave,C,Saint Louis,2160,MO,,631042852,St Louis City South,Saint Louis - MO
2245 Gravois,C,Saint Louis,1300,MO,1975,63104,St Louis City South,Saint Louis - MO
2245 S Kingshighway Blvd,B,Saint Louis,14929,MO,1988,631103361,St Louis City South,Saint Louis - MO
2247 Cassens Dr,B,Fenton,25000,MO,1995,630262501,Fenton,Saint Louis - MO
225 Grand Blvd,C,Kansas City,60000,MO,1930,641061015,Downtown KC,Kansas City - MO
225 S 65th St,B,Kansas City,7400,MO,1950,661112202,Kansas City KS,Kansas City - MO
225 St. Louis St,C,Pacific,21231,MO,1967,63069,Franklin County,Saint Louis - MO
22500 E Meyer Rd,C,Independence,6000,MO,1991,640582179,Blue Springs,Kansas City - MO
2252 E Pitman Ave,B,Wentzville,30000,MO,1998,63385,St Charles County,Saint Louis - MO
2253 Administration Dr,C,Maryland Heights,12255,MO,1968,631463403,Westport,Saint Louis - MO
226 Centreville Ave,C,Belleville,18000,MO,1910,622201948,Illinois,Saint Louis - MO
226 S Blake St,C,Olathe,7332,MO,1968,66061,Olathe,Kansas City - MO
2266 E Pitman Ave,C,Wentzville,4050,MO,1980,63385,St Charles County,Saint Louis - MO
227 NW 12th St,B,Blue Springs,10000,MO,,64015,Blue Springs,Kansas City - MO
22701 S Peculiar Dr,B,Peculiar,47000,MO,2006,64078,Cass County,Kansas City - MO
2272 Lackfee Rd,C,Maryland Heights,17954,MO,1969,63146,Westport,Saint Louis - MO
22720 Joe Holt Pky,B,Peculiar,6400,MO,2007,64078,Cass County,Kansas City - MO
2280 Cassens Dr,C,Fenton,16860,MO,1976,630262521,Fenton,Saint Louis - MO
2280 Chaffee Dr,C,Maryland Heights,34824,MO,1973,63043,Westport,Saint Louis - MO
22805 Joe Holt Pky,B,Peculiar,4000,MO,2009,64078,Cass County,Kansas City - MO
2282-2298 Grissom Dr,B,Saint Louis,33708,MO,1969,63146,Westport,Saint Louis - MO
22845 W 83rd St,F,Lenexa,12574,MO,1920,662273112,Lenexa,Kansas City - MO
229 E Holden St,C,Virden,9288,MO,,62690,Macoupin County,Saint Louis - MO
2296 N Arbor Creek Ln,,Springfield,,MO,,65802,Northeast,Springfield  - MO
23 S Main St,B,Caseyville,10830,MO,2015,622321910,Illinois,Saint Louis - MO
230 Cass Ave,C,Saint Louis,45000,MO,1901,631022308,St Louis City North,Saint Louis - MO
230 E North Ave,C,Belton,7577,MO,1986,64012,Cass County,Kansas City - MO
230 E Springfield Rd,C,Sullivan,36042,MO,,63080,Franklin County,Saint Louis - MO
2300 Cassens Dr,C,Fenton,19380,MO,1980,630262503,Fenton,Saint Louis - MO
2300 Falling Springs Rd,C,East Saint Louis,100000,MO,,622061102,Illinois,Saint Louis - MO
2300 Guinotte Ave,C,Kansas City,3800,MO,1980,64120,East Bottoms KC,Kansas City - MO
2300 Lemp Ave,C,Saint Louis,2000,MO,1947,63104,St Louis City South,Saint Louis - MO
2300 Manchester Tfwy,C,Kansas City,85655,MO,1978,64129,Sports Complex,Kansas City - MO
2300 N Holly Rd,C,Buckner,50000,MO,1920,64016,Blue Springs,Kansas City - MO
2300 N Lindbergh Blvd,C,Saint Louis,6685,MO,1958,63114,Innerbelt W of 170,Saint Louis - MO
2300 NE Independence Ave,B,Lees Summit,44447,MO,2002,640642320,"Lee's Summit",Kansas City - MO
2300 S 3rd St,C,Saint Louis,16000,MO,1950,63104,St Louis City South,Saint Louis - MO
2300 S Hanley Rd,F,Brentwood,14000,MO,1925,631441503,Hanley,Saint Louis - MO
2300 Salena St,C,Saint Louis,28020,MO,1936,63104,St Louis City South,Saint Louis - MO
2301 E Broadway Rd,C,Alton,16000,MO,1975,62002,Illinois,Saint Louis - MO
2301 N 11th St,C,Saint Louis,100000,MO,1912,631064008,St Louis City North,Saint Louis - MO
2301 SW US 40 Hwy,B,Blue Springs,3500,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW US 40 Hwy,B,Blue Springs,21600,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW US 40 Hwy,B,Blue Springs,4032,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW US 40 Hwy,B,Blue Springs,7200,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW US 40 Hwy,B,Blue Springs,7200,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW US 40 Hwy,B,Blue Springs,2400,MO,1973,64015,Blue Springs,Kansas City - MO
2301 SW Us -40 Hwy,B,Blue Springs,26645,MO,1973,64015,Blue Springs,Kansas City - MO
2301 Troost Ave,C,Kansas City,5469,MO,1987,64108,Downtown KC,Kansas City - MO
2301 W 40 Hwy,C,Blue Springs,105600,MO,1961,640154641,Blue Springs,Kansas City - MO
2301-2303 Lemp Ave,C,Saint Louis,130000,MO,1916,63104,St Louis City South,Saint Louis - MO
2301-2303 Summit St,C,Kansas City,6687,MO,1920,641082128,Downtown KC,Kansas City - MO
2303 Schuetz Rd,B,Saint Louis,90336,MO,1970,63146,Westport,Saint Louis - MO
2303 W 20th St,,Joplin,,MO,,64801,,Joplin - MO
2303-2305 Chaffee Dr,C,Maryland Heights,59800,MO,1968,63146,Westport,Saint Louis - MO
2305-2329 Markoe Ave,B,Wentzville,12859,MO,1989,63385,St Charles County,Saint Louis - MO
2306 E Truman Rd,C,Kansas City,4800,MO,1910,64127,East Bottoms KC,Kansas City - MO
2306 N Broadway,C,Saint Louis,66600,MO,,63102,St Louis City North,Saint Louis - MO
2306-2338 N Lindbergh Blvd,C,Saint Louis,60800,MO,1988,631141676,Innerbelt W of 170,Saint Louis - MO
23067 Brandon Ln,C,Jerseyville,5500,MO,,620523545,Jersey County,Saint Louis - MO
231 Larkin Williams Ind. Ct,B,Fenton,25136,MO,1991,630262412,Fenton,Saint Louis - MO
2310 Chaffee Dr,C,Maryland Heights,35310,MO,1973,63043,Westport,Saint Louis - MO
2311 Chestnut St,C,Saint Louis,33000,MO,1925,631032203,St Louis City North,Saint Louis - MO
2311 Guinotte Ave,C,Kansas City,2700,MO,1955,64120,East Bottoms KC,Kansas City - MO
2311 Mo-224 Hwy,C,Lexington,2000,MO,1930,64067,Lafayette County,Kansas City - MO
2312 S Farm Road 221,,Springfield,,MO,,658093230,Outlying Greene County,Springfield  - MO
2313-2315 Harrison St,F,Kansas City,10200,MO,1960,641082829,Downtown KC,Kansas City - MO
2315 Olive St,F,Saint Louis,12000,MO,1950,631031530,St Louis City North,Saint Louis - MO
2315-2319 Independence Ave,C,Kansas City,8800,MO,1936,641242314,East Bottoms KC,Kansas City - MO
2316 N Broadway,C,Saint Louis,43150,MO,,631021406,St Louis City North,Saint Louis - MO
2319-2325 Grissom Dr,C,Maryland Heights,22328,MO,1968,631463310,Westport,Saint Louis - MO
232 Junior Dr,C,Saint Charles,21213,MO,1960,633010990,St Charles County,Saint Louis - MO
2320 Salena St,B,Saint Louis,14000,MO,1936,63104,St Louis City South,Saint Louis - MO
2322 S 7th St,C,Saint Louis,20000,MO,1950,63104,St Louis City South,Saint Louis - MO
2324 Highway Z,,Wentzville,,MO,,633855313,St Charles County,Saint Louis - MO
2324 Kearbey Ln,B,South Roxana,4741,MO,,620871770,Illinois,Saint Louis - MO
2324-2338 Chaffee Dr,B,Saint Louis,32815,MO,1969,63146,Westport,Saint Louis - MO
23257 W 255th St,C,Paola,5000,MO,2007,66071,Outer South Kansas City,Kansas City - MO
2330 State Line Rd,B,Kansas City,10400,MO,1960,661032193,Armourdale,Kansas City - MO
2330 Verna Ave,C,Maryland Heights,1120,MO,1962,630433524,Westport,Saint Louis - MO
2331 N Bluff St,,Fulton,,MO,,652512708,,Jefferson City - MO
2334 Rochester Ave,C,Kansas City,19988,MO,1953,64120,East Bottoms KC,Kansas City - MO
2336 State Line Rd,C,Kansas City,12000,MO,1981,661032193,Armourdale,Kansas City - MO
2337 S Big Bend Blvd,C,Maplewood,24000,MO,1962,631432017,Hanley,Saint Louis - MO
2338-2340 Merriam Ln,C,Kansas City,12324,MO,1990,661064719,Turner,Kansas City - MO
234 Peculiar Dr,B,Belton,5929,MO,1998,64012,Cass County,Kansas City - MO
2340 Verna Ave,C,Maryland Heights,4200,MO,1973,630433524,Westport,Saint Louis - MO
2341 S Woodland Ave,B,Independence,6014,MO,,640504245,Independence,Kansas City - MO
2342-2368 N Lindbergh Blvd,C,Saint Louis,27200,MO,1988,631141608,Innerbelt W of 170,Saint Louis - MO
2344 Grissom Dr,B,Saint Louis,35806,MO,1967,631463311,Westport,Saint Louis - MO
2345-2349 Chaffee Dr,C,Maryland Heights,61259,MO,1969,631463306,Westport,Saint Louis - MO
2345-2359 Grissom Dr,C,Saint Louis,19624,MO,1973,631463310,Westport,Saint Louis - MO
2347-2349 Woodson Rd,C,Overland,6949,MO,1968,631145529,Innerbelt W of 170,Saint Louis - MO
2350 NE Independence Ave,B,Lees Summit,30000,MO,1993,640642320,"Lee's Summit",Kansas City - MO
2350 Sauget Industrial Pky,B,Sauget,35000,MO,1999,622062937,Illinois,Saint Louis - MO
23505 W 86th St,C,Shawnee,70000,MO,2005,66227,Lenexa,Kansas City - MO
236 Hawning Rd,C,Saint Charles,4080,MO,1977,63301,St Charles County,Saint Louis - MO
23611 Linwood Rd,C,Linwood,3600,MO,1960,660524144,Leavenworth County,Kansas City - MO
2363 State Route 291,,Lees Summit,,MO,,64082,"Lee's Summit",Kansas City - MO
2366 Centerline Industrial Dr,C,Maryland Heights,25000,MO,1968,63146,Westport,Saint Louis - MO
2366 State Line Rd,C,Kansas City,10000,MO,1960,66103,Armourdale,Kansas City - MO
23724 W 255th St,,Paola,,MO,,66071,Outer South Kansas City,Kansas City - MO
23730-23750 W 83rd Ter,B,Shawnee,10200,MO,2008,66227,Lenexa,Kansas City - MO
2374-2376 Cassens Dr,C,Fenton,15850,MO,1973,630262503,Fenton,Saint Louis - MO
2374-2380 Grissom Dr,C,Saint Louis,33600,MO,1972,63146,Westport,Saint Louis - MO
2375 Ball Dr,B,Saint Louis,34116,MO,2005,631468605,Westport,Saint Louis - MO
2375 Verna Ave,C,Maryland Heights,10000,MO,1946,630433523,Westport,Saint Louis - MO
23754 W 82nd Ter,C,Lenexa,3122,MO,1985,66227,Lenexa,Kansas City - MO
23757 W 82nd Ter,C,Shawnee,5814,MO,1987,66227,Lenexa,Kansas City - MO
23770 W 81st Ter,C,Lenexa,8731,MO,1988,66227,Lenexa,Kansas City - MO
2380 N Lark Dr,B,Fenton,11852,MO,1976,630264330,Jefferson County,Saint Louis - MO
23803 W 83rd Ter,B,Shawnee,12235,MO,2006,662273141,Lenexa,Kansas City - MO
2381 Centerline Industrial Dr,C,Maryland Heights,64885,MO,1967,63146,Westport,Saint Louis - MO
23825 W 40th St,C,Shawnee,10500,MO,2006,662262284,Shawnee,Kansas City - MO
2383 Chaffee Dr,C,Maryland Heights,17343,MO,1978,631463306,Westport,Saint Louis - MO
2383-2391 Schuetz Rd,C,Maryland Heights,12040,MO,1967,63146,Westport,Saint Louis - MO
2385 Verna Ave,C,Maryland Heights,2660,MO,1988,63043,Westport,Saint Louis - MO
2388 Chaffee Dr,B,Maryland Heights,13000,MO,1978,63146,Westport,Saint Louis - MO
239 Old St Louis Rd,C,Wood River,2403,MO,,62095,Illinois,Saint Louis - MO
239 S 89th St,C,Centreville,5100,MO,1979,62207,Illinois,Saint Louis - MO
2391 SW Highway 169,C,Gower,18000,MO,,64454,Outlying KC MO,Kansas City - MO
2392 Grissom Dr,B,Saint Louis,61293,MO,1973,63146,Westport,Saint Louis - MO
2399 Cassens Dr,C,Fenton,14990,MO,1980,630262502,Fenton,Saint Louis - MO
23rd St @ Lincoln,C,Granite City,11369,MO,,62040,Illinois,Saint Louis - MO
24 Allen Ave,C,Webster Groves,19025,MO,1930,631192304,Hanley,Saint Louis - MO
24 Bolte Ln,C,Saint Clair,10000,MO,1989,63077,Franklin County,Saint Louis - MO
24 Branch St,C,Saint Louis,37000,MO,1901,631473502,St Louis City North,Saint Louis - MO
24 Town & Country Dr,C,Washington,15000,MO,2001,63090,Franklin County,Saint Louis - MO
24 Worthington Access Dr,C,Maryland Heights,31277,MO,1970,630433806,Westport,Saint Louis - MO
24-30 Kirkham Industrial Dr,C,Webster Groves,5964,MO,1968,631191754,Hanley,Saint Louis - MO
24-700-30-00-021-03-01,,Hartsburg,,MO,,65039,,Columbia - MO
240 E Monroe Ave,C,Kirkwood,18000,MO,1992,631226127,Hanley,Saint Louis - MO
240 Seebold Spur,C,Fenton,10000,MO,1987,630264600,Jefferson County,Saint Louis - MO
2400 Amann Dr,B,Belleville,25000,MO,1991,622203462,Illinois,Saint Louis - MO
2400 Blue Ridge Rd,,Columbia,,MO,,65202,,Columbia - MO
2400 E 18th St,C,Kansas City,48000,MO,1920,641272554,East Bottoms KC,Kansas City - MO
2400 E Livingston St,,Springfield,,MO,,65803,Northeast,Springfield  - MO
2400 Nicholson Ave,C,Kansas City,10718,MO,1945,64120,East Bottoms KC,Kansas City - MO
2400 Nicholson Ave,F,Kansas City,9565,MO,,64120,East Bottoms KC,Kansas City - MO
2400 Prather Rd,C,Kansas City,11026,MO,,64117,Claycomo,Kansas City - MO
2400 Rochester St,C,Kansas City,3908,MO,1956,64120,East Bottoms KC,Kansas City - MO
2400 S 9th St,C,Saint Louis,34569,MO,1927,631044707,St Louis City South,Saint Louis - MO
2400 Sawmill Rd,,Highlandville,,MO,,65669,West Christian County,Springfield  - MO
2401 Cheyenne St,C,Kansas City,3200,MO,1979,661061269,Turner,Kansas City - MO
2401 MidPoint Dr,B,Edwardsville,180000,MO,2005,66111,Bonner Springs,Kansas City - MO
2401 SW Us-40 Hwy,C,Blue Springs,9000,MO,1987,64015,Blue Springs,Kansas City - MO
2401 Schuetz Rd,C,Maryland Heights,17500,MO,1969,630433314,Westport,Saint Louis - MO
2401 W Pearce Blvd,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
2401-2405 Southwest Blvd,C,Kansas City,17821,MO,1972,641082344,Midtown,Kansas City - MO
2402 S Maiden Ln,,Joplin,,MO,,64804,,Joplin - MO
2402-2420 Centerline Industrial Dr,C,Maryland Heights,19616,MO,1968,630433307,Westport,Saint Louis - MO
2403 S M-291 Hwy,,Lees Summit,,MO,,64082,"Lee's Summit",Kansas City - MO
2404 N State Route 291,C,Harrisonville,3600,MO,,647011150,Cass County,Kansas City - MO
2405 E Truman Rd,C,Kansas City,25600,MO,1915,641272037,East Bottoms KC,Kansas City - MO
2405 Merriam Ln,C,Kansas City,3000,MO,1962,66106,Turner,Kansas City - MO
2405 Nicholson Ave,C,Kansas City,11310,MO,,64120,East Bottoms KC,Kansas City - MO
2405 Nicholson Ave,C,Kansas City,13989,MO,1962,64120,East Bottoms KC,Kansas City - MO
241 NW Commerce Ct,C,Lees Summit,3210,MO,,640865887,"Lee's Summit",Kansas City - MO
24101 W Valley Pky,C,Olathe,140598,MO,2008,660618427,Olathe,Kansas City - MO
2411 E 18th St,C,Kansas City,23380,MO,1968,64127,East Bottoms KC,Kansas City - MO
24110 S Peculiar Dr,B,Peculiar,370000,MO,1983,640789247,Cass County,Kansas City - MO
2412 E Truman Rd,B,Kansas City,6173,MO,1910,64127,East Bottoms KC,Kansas City - MO
2415 E 18th St,B,Kansas City,32737,MO,1968,64127,East Bottoms KC,Kansas City - MO
2415-2417 S 7th St,C,Saint Louis,60000,MO,1904,63104,St Louis City South,Saint Louis - MO
2416 Franklin St,B,Lexington,5828,MO,1970,64067,Lafayette County,Kansas City - MO
2416 S 8th St,C,Kansas City,9402,MO,1978,661031804,Armourdale,Kansas City - MO
2420 Salena St,C,Saint Louis,14276,MO,1936,63104,St Louis City South,Saint Louis - MO
2423 Northline Industrial Blvd,C,Maryland Heights,30516,MO,1974,630433308,Westport,Saint Louis - MO
2423-2425 S Early St,C,Kansas City,5000,MO,1963,66103,Armourdale,Kansas City - MO
2425 Amann Dr,B,Belleville,8000,MO,1993,62220,Illinois,Saint Louis - MO
2425 Lemp Ave,C,Saint Louis,129214,MO,1973,631042810,St Louis City South,Saint Louis - MO
2426 E Pitman Ave,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
2429 Schuetz Rd,C,Maryland Heights,77000,MO,1968,630433314,Westport,Saint Louis - MO
2429 W Sunshine St,,Springfield,,MO,,658072249,Northwest,Springfield  - MO
243 Independence Dr,C,Union,1776,MO,,63084,Franklin County,Saint Louis - MO
243 Mullen Rd,C,Belton,5000,MO,1985,64012,Cass County,Kansas City - MO
2430 Northline Industrial Blvd,C,Maryland Heights,11960,MO,1972,630433309,Westport,Saint Louis - MO
2430 Salena,C,Saint Louis,20000,MO,1975,63104,St Louis City South,Saint Louis - MO
2430 W 32nd St,,Joplin,,MO,,64804,,Joplin - MO
2431 Prospect Ave,C,Kansas City,37662,MO,1925,641273939,Sports Complex,Kansas City - MO
2431 Raymond Dr,C,Saint Charles,10000,MO,1975,63301,St Charles County,Saint Louis - MO
24311 E 223rd St,B,Harrisonville,7200,MO,2001,64701,Cass County,Kansas City - MO
2435 Jefferson St,C,Kansas City,5915,MO,,64108,Midtown,Kansas City - MO
2435 Rock Island Blvd,C,Maryland Heights,25320,MO,1971,630433520,Westport,Saint Louis - MO
2436 Old Country Inn Dr,B,Caseyville,12698,MO,2009,622322333,Illinois,Saint Louis - MO
2436-2438 Northline Industrial Blvd,C,Maryland Heights,18806,MO,1966,63043,Westport,Saint Louis - MO
2437 Northline Industrial Blvd,C,Maryland Heights,31850,MO,1965,630433308,Westport,Saint Louis - MO
2440 Adie Rd,C,Maryland Heights,46595,MO,1967,630433504,Westport,Saint Louis - MO
2440 Rochester St,C,Kansas City,1750,MO,1928,641201547,East Bottoms KC,Kansas City - MO
2440-2450 MidPoint Dr,A,Edwardsville,225000,MO,2006,66111,Bonner Springs,Kansas City - MO
2440-2453 Highway Z,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
24400 W Valley Pky,B,Olathe,192548,MO,2016,660618483,Olathe,Kansas City - MO
2441-2445 Northline Industrial Blvd,C,Maryland Heights,42090,MO,1965,63043,Westport,Saint Louis - MO
2444 Northline Industrial Blvd,B,Maryland Heights,27000,MO,1968,63043,Westport,Saint Louis - MO
